	10	13	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
	11	85	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
	2	21	9	1	11	31	5	4	5	3	2	3	2	3	4	15	2	7	9	0	10	7
	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
	26	314	98	10	71	209	28	11	53	118	39	30	16	57	26	107	15	138	96	3	106	105
	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0
	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	1	43	18	0	19	34	8	2	9	8	5	5	2	4	5	16	0	22	22	0	10	8
	1	5	6	0	7	10	1	1	2	3	1	0	0	3	0	4	4	3	4	0	4	4
	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	2	0	2	1	0	1	0	0	0	0	1	1	0	4	2	4	0	2	2	0	2	1
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
	2	6	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	5	15	6	0	4	11	4	0	1	5	1	1	0	0	3	2	1	5	1	0	4	2
	20	132	38	1	34	92	17	8	33	67	21	12	8	23	15	60	7	62	65	4	38	64
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	2	73	22	0	5	20	1	2	6	34	7	8	0	3	2	11	3	36	37	3	8	13
	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1	19	1	0	0	0	0	0	1	4	0	1	0	0	0	0	0	4	3	0	0	0
	2	12	5	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	6	3	0	0
	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1
	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
	2	6	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	5	0	0	0
	3	2	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0
	1	1	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0
	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	2	8	1	0	2	7	3	1	0	0	0	0	1	5	0	1	1	3	1	0	0	0
	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
	4	15	16	0	0	0	0	0	1	0	1	0	0	0	0	0	1	5	2	0	0	0
	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
	2	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0
	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
